objectid,id,address,terminal_num,lat,long,nbikes,empty_docks
177404004,306,Arlington Blvd & Fillmore St,31070,38.873755,-77.089233,9,2
177404005,307,Long Bridge Park/Long Bridge Dr & 6th St S,31071,38.86646,-77.04826,9,2
177404006,308,Old Georgetown Rd & Southwick St,32039,38.999634,-77.109647,9,10
177404007,309,Friendship Blvd & Willard Ave,32040,38.96115,-77.088659,10,9
177404008,310,North Capitol St & G Pl NE,31637,38.899703,-77.008911,2,16
177404009,311,31st & Woodrow St S,31072,38.837666,-77.09482,3,8
177404010,312,Washington Blvd & Walter Reed Dr,31073,38.873219,-77.082104,7,7
177404011,313,TJ Cmty Ctr / 2nd St & S Old Glebe Rd,31074,38.869418,-77.095596,10,4
177404012,314,Connecticut Ave & Tilden St NW,31313,38.941154,-77.062036,9,6
177404013,315,Medical Center Dr & Key West Ave,32041,39.103091,-77.196442,9,6
177404014,316,Shady Grove Hospital,32042,39.097636,-77.196636,5,14
177404015,317,Veterans Pl & Pershing Dr,32043,38.997445,-77.023894,9,2
177404016,318,Rockville Metro East,32044,39.085394,-77.145803,6,7
177404017,319,1st & H St NW,31638,38.900358,-77.012108,10,5
177404018,320,Fort Totten Metro,31515,38.952369,-77.002721,6,13
177404019,321,Takoma Metro,31408,38.975219,-77.016855,8,9
177404020,322,Rhode Island Ave Metro,31516,38.920682,-76.995876,1,18
177404021,323,Rolfe St & 9th St S,31075,38.866471,-77.076131,3,7
177404022,324,Shirlington Transit Center / S Quincy & Randolph St,31076,38.839912,-77.087083,9,6
177404023,325,Shady Grove Metro West,32045,39.119765,-77.166093,6,13
177404024,326,River Rd & Landy Ln,32046,38.964992,-77.103381,10,8
177404025,327,Rockville Metro West,32047,39.084379,-77.146866,6,12
177404026,328,Bethesda Metro,32048,38.984691,-77.094537,3,9
177404027,329,Iwo Jima Memorial/N Meade & 14th St N,31077,38.88992,-77.071301,4,15
177404028,330,34th & Water St NW,31314,38.903663,-77.067668,6,13
177404029,331,Duke St & John Carlyle St,31081,38.804378,-77.060866,2,13
177404030,332,Lee Hwy & N Cleveland St,31079,38.894941,-77.09169,4,11
177404031,333,Arlington Blvd & S George Mason Dr/NFATC,31078,38.869442,-77.104503,4,10
177404032,334,10th & G St NW,31274,38.898243,-77.026235,19,4
177404033,335,Lee Hwy & N Scott St,31080,38.897612,-77.080851,3,11
177404034,336,New Hampshire Ave & 24th St NW,31275,38.901755,-77.051084,9,9
177404035,337,Eisenhower Ave & Mill Race Ln,31082,38.801111,-77.068952,11,4
177404036,338,Potomac Greens Dr & Slaters Ln,31083,38.82175,-77.047494,3,7
177404037,339,Ballenger Ave & Dulaney St,31084,38.802677,-77.063562,8,11
177404038,340,Mount Vernon Ave & E Nelson Ave,31085,38.820064,-77.057619,4,7
177404039,341,Mount Vernon Ave & E Del Ray Ave,31086,38.82595,-77.058541,11,4
177404040,342,Monroe Ave & Leslie Ave,31087,38.820932,-77.053096,13,1
177404041,343,Mount Vernon Ave & Kennedy St,31088,38.833077,-77.059821,10,5
177404042,344,Court House Metro / 15th & N Uhle St,31089,38.890612,-77.084801,5,16
177404043,345,Washington Adventist U / Flower Ave & Division St,32049,38.986743,-77.000035,5,10
177404044,346,6th & S Ball St,31090,38.864702,-77.048672,8,7
177404045,347,McKinley St & Connecticut Ave NW,31315,38.96497,-77.075946,4,15
177404046,348,15th & L St NW,31276,38.90366,-77.034846,1,19
177404047,349,17th & G St NW,31277,38.89841,-77.039624,9,22
177404048,350,Spring St & Second Ave,32050,38.997653,-77.034499,6,9
